id,parity_max_diff,size_kb,ns_single,ms_1k,ms_10k,ms_100k
0,2.384185791015625e-07,236.1064453125,93.58667070046067,0.08887500734999776,0.31029200181365013,2.3925830028019845
1,2.384185791015625e-07,235.54296875,101.8300000578165,0.10300055146217346,0.3129789838567376,2.388541994150728
2,2.384185791015625e-07,234.677734375,102.05458966083825,0.10291702346876264,0.314396049361676,2.3743545170873404
3,2.384185791015625e-07,235.70703125,101.93209047429264,0.10093755554407835,0.3209380083717406,2.380666497629136
4,1.825392246246338e-07,469.1982421875,102.34125074930489,0.1043124939315021,0.32004149397835135,2.390375011600554
5,2.384185791015625e-07,236.064453125,101.75416944548488,0.11814601020887494,0.3141665365546942,2.4083544849418104
6,2.384185791015625e-07,235.068359375,101.52583010494709,0.10622903937473893,0.3107080119661987,2.378687495365739
7,2.384185791015625e-07,465.90625,101.29374917596579,0.10741653386503458,0.31156197655946016,2.394604030996561
8,2.980232238769531e-07,468.4658203125,102.14291978627443,0.10354153346270323,0.3169375122524798,2.407207968644798
9,4.991888999938965e-07,468.7763671875,102.03292011283338,0.11183304013684392,0.3193125012330711,2.3791040293872356
10,3.5762786865234375e-06,469.1337890625,102.00708056800067,0.10089599527418613,0.3149795229546726,2.4588960222899914
11,4.284083843231201e-06,236.822265625,101.55458934605122,0.10614644270390272,0.3145209630019963,2.4042914737947285
12,4.172325134277344e-07,233.3818359375,101.51583002880216,0.10408350499346852,0.34091650741174817,2.6570000336505473
13,1.1026859283447266e-06,468.2333984375,102.14000009000301,0.10441703489050269,0.3418749547563493,2.7032920042984188
14,1.3709068298339844e-06,235.498046875,101.67666943743825,0.1018545008264482,0.34164596581831574,2.69295898033306
15,3.650784492492676e-07,469.177734375,101.63957951590419,0.1041460782289505,0.3445834736339748,2.695582981687039
16,3.5762786865234375e-07,468.5849609375,101.97874973528087,0.10820804163813591,0.3444374888204038,2.6933334884233773
17,2.391636371612549e-06,468.8583984375,102.38500079140067,0.10418752208352089,0.34760450944304466,2.7132295654155314
18,4.723668098449707e-06,469.181640625,101.88707965426147,0.10270799975842237,0.34089648397639394,2.7311250451020896
19,2.537854015827179e-07,236.2607421875,101.63250030018389,0.10335445404052734,0.34539593616500497,2.715916547458619
20,3.129243850708008e-07,468.2265625,102.214579237625,0.10016647865995765,0.34679193049669266,2.7474164962768555
21,4.8041343688964844e-05,470.400390625,101.70417022891343,0.10614603525027633,0.3385205054655671,2.7205414953641593
22,3.5762786865234375e-07,235.8515625,102.30917017906904,0.10635401122272015,0.3424794995225966,2.744374971371144
23,2.205371856689453e-06,234.736328125,101.5125005505979,0.10406255023553967,0.336416473146528,2.6866039843298495
24,2.2351741790771484e-06,237.1318359375,101.81042016483843,0.1059380010701716,0.34347944892942905,2.7331040473654866
25,3.5762786865234375e-07,236.220703125,102.14874986559153,0.10539556387811899,0.34402048913761973,2.738270501140505
26,1.4901161193847656e-07,469.1923828125,101.88583051785827,0.10502105578780174,0.3438959829509258,2.7661455096676946
27,3.5762786865234375e-07,235.169921875,101.73790971748531,0.10204146383330226,0.3412709338590503,2.732937049586326
28,2.384185791015625e-07,468.4716796875,102.382090408355,0.10241701966151595,0.3470834926702082,2.726937993429601
29,9.387731552124023e-07,235.619140625,101.60583071410656,0.10366697097197175,0.33956253901124,2.6890620356425643
30,3.516674041748047e-06,233.955078125,102.05165948718786,0.10420801118016243,0.33743749372661114,2.695937466342002
31,1.5497207641601562e-06,231.7138671875,101.85374994762242,0.10164600098505616,0.3403124865144491,2.693208516575396
32,2.384185791015625e-07,469.03125,101.93084017373621,0.09766645962372422,0.34406251506879926,2.682604070287198
33,8.288770914077759e-06,468.3046875,101.75041039474308,0.10424997890368104,0.34006201894953847,2.6889584260061383
34,4.641711711883545e-06,467.462890625,101.69125045649707,0.10397948790341616,0.33993751276284456,2.6756669976748526
35,5.0067901611328125e-06,466.7958984375,101.71917034313083,0.10435393778607249,0.3421669825911522,2.6753959828056395
36,3.2782554626464844e-07,468.3037109375,101.77707998082042,0.09308295557275414,0.34908298403024673,2.7449580375105143
37,1.325458288192749e-05,236.4482421875,102.01417026109993,0.10635406943038106,0.3463749890215695,2.7181870536878705
38,2.384185791015625e-07,234.2919921875,101.5308394562453,0.10464602382853627,0.33712497679516673,2.690666471607983
39,4.3213367462158203e-07,235.7060546875,102.33541950583458,0.09975000284612179,0.33877097303047776,2.6914585032500327
40,2.086162567138672e-07,236.341796875,101.71542060561478,0.0996044254861772,0.3396875108592212,2.695582981687039
41,1.9371509552001953e-07,236.0859375,101.87749983742833,0.09656243491917849,0.347354041878134,2.6824374799616635
42,7.152557373046875e-07,236.1669921875,101.5145902056247,0.1071045408025384,0.3412290825508535,2.680479025002569
43,2.682209014892578e-07,468.796875,102.24917088635266,0.10143750114366412,0.33927051117643714,2.750875020865351
44,1.7881393432617188e-07,236.140625,101.86832980252802,0.0992499990388751,0.3405414754524827,2.7230000123381615
45,4.76837158203125e-07,235.09765625,102.62332973070443,0.10260398266837001,0.3335209912620485,2.688604057766497
46,4.015862941741943e-06,469.0849609375,101.87916923314333,0.10681251296773553,0.36391650792211294,2.9310210375115275
47,1.6093254089355469e-06,235.9560546875,102.00542048551142,0.10287546319887042,0.3635420580394566,2.912728989031166
48,2.384185791015625e-07,236.1123046875,101.81250050663948,0.10256300447508693,0.3717289655469358,2.9019374633207917
49,3.5762786865234375e-07,234.9072265625,102.04999940469861,0.10339601431041956,0.3613330191001296,2.918416983447969
